Taxon.number,Genus.species,Species,On morphosource?,How many?,Use?,Link,Link2,Link3,Link4,Link5,
23,Gymnocorymbus,,N,,,,,,,,
23,Gymnotichthys,,N,,,,,,,,
23,Hasemania,,N,,,,,,,,
23,Hemibrycon,,N,,,,,,,,
23,Hemigrammus,,N,,,,,,,,
23,Heterocheirodon,,N,,,,,,,,
23,Hollandichthys,,N,,,,,,,,
23,Hyphessobrycon,,N,,,,,,,,
23,Hypobrycon,,N,,,,,,,,
23,Hysteronotus,,N,,,,,,,,
23,Inpaichthys,,N,,,,,,,,
23,Iotabrycon,,N,,,,,,,,
23,Jupiaba,,N,,,,,,,,
23,Knodus,,N,,,,,,,,
23,Kolpotocheirodon,,N,,,,,,,,
23,Landonia,,N,,,,,,,,
23,Lepidocharax,,N,,,,,,,,
23,Leptagoniates,,N,,,,,,,,
23,Leptobrycon,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/11604,,,,,
23,Lophiobrycon,,N,,,,,,,,
23,Macropsobrycon,,N,,,,,,,,
23,Markiana,,N,,,,,,,,
23,Microgenys,,N,,,,,,,,
23,Microschemobrycon,,N,,,,,,,,
23,Mimagoniates,,N,,,,,,,,
23,Mixobrycon,,N,,,,,,,,
23,Moenkhausia,,N,,,,,,,,
23,Monotocheirodon,,N,,,,,,,,
23,Myxiops,,N,,,,,,,,
23,Nanocheirodon,,N,,,,,,,,
23,Nantis,,N,,,,,,,,
23,Nematobrycon,,N,,,,,,,,
23,Nematocharax,,N,,,,,,,,
23,Odontostilbe,,N,,,,,,,,
23,Odontostoechus,,N,,,,,,,,
23,Oligobrycon,,N,,,,,,,,
23,Oligosarcus,,N,,,,,,,,
23,Orthospinus,,N,,,,,,,,
23,Othonocheirodus,,N,,,,,,,,
23,Oxybrycon,,N,,,,,,,,
23,Paracheirodon,,N,,,,,,,,
23,Paragoniates,,N,,,,,,,,
23,Parapristella,,N,,,,,,,,
23,Parastremma,,N,,,,,,,,
23,Parecbasis,,N,,,,,,,,
23,Petitella,,N,,,,,,,,
23,Phallobrycon,,N,,,,,,,,
23,Phenacobrycon,,N,,,,,,,,
23,Phenacogaster,,N,,,,,,,,
23,Phenagoniates,,N,,,,,,,,
23,Piabarchus,,N,,,,,,,,
23,Piabina,,N,,,,,,,,
23,Planaltina,,N,,,,,,,,
23,Poptella,,N,,,,,,,,
23,Priocharax,,N,,,,,,,,
23,Prionobrama,,N,,,,,,,,
23,Pristella,,N,,,,,,,,
23,Probolodus,,N,,,,,,,,
23,Prodontocharax,,N,,,,,,,,
23,Psellogrammus,,N,,,,,,,,
23,Pseudochalceus,,N,,,,,,,,
23,Pseudocheirodon,,N,,,,,,,,
23,Pseudocorynopoma,,N,,,,,,,,
23,Pterobrycon,,N,,,,,,,,
23,Ptychocharax,,N,,,,,,,,
23,Rachoviscus,,N,,,,,,,,
23,Rhinobrycon,,N,,,,,,,,
23,Rhinopetitia,,N,,,,,,,,
23,Rhoadsia,,N,,,,,,,,
23,Roeboexodon,,N,,,,,,,,
23,Roeboides,,Y,6,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/8073,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/8075,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/8076,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/8077,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/8078,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/9555
23,Saccoderma,,N,,,,,,,,
23,Schultzites,,N,,,,,,,,
23,Scissor,,N,,,,,,,,
23,Scopaeocharax,,N,,,,,,,,
23,Serrabrycon,,N,,,,,,,,
23,Serrapinnus,,N,,,,,,,,
23,Spintherobolus,,N,,,,,,,,
23,Stethaprion,,N,,,,,,,,
23,Stichonodon,,N,,,,,,,,
23,Stygichthys,,N,,,,,,,,
23,Tetragonopterus,,N,,,,,,,,
23,Thayeria,,N,,,,,,,,
23,Thrissobrycon,,N,,,,,,,,
23,Trochilocharax,,N,,,,,,,,
23,Tucanoichthys,,N,,,,,,,,
23,Tyttobrycon,,N,,,,,,,,
23,Tyttocharax,,N,,,,,,,,
23,Xenagoniates,,N,,,,,,,,
23,Xenurobrycon,,N,,,,,,,,
24,Pygocentrus,,Y,3,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6798,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6806,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7440,,,
25,Hemigrammus,,N,,,,,,,,
26,Hydrocynus,,N,,,,,,,,
29,Ictalurus punctatus,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6212,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/12093,,,,
30,Acanthicus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/12094,,,,,
30,Acestridium,,N,,,,,,,,
30,Ancistrus,,N,,,,,,,,
30,Aphanotorulus,,N,,,,,,,,
30,Apistoloricaria,,N,,,,,,,,
30,Aposturisoma,,N,,,,,,,,
30,Baryancistrus,,N,,,,,,,,
30,Brochiloricaria,,N,,,,,,,,
30,Chaetostoma,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/12338,,,,,
30,Cordylancistrus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/11784,,,,,
30,Corumbataia,,N,,,,,,,,
30,Corymbophanes,,N,,,,,,,,
30,Crossoloricaria,,N,,,,,,,,
30,Cteniloricaria,,N,,,,,,,,
30,Dasyloricaria,,N,,,,,,,,
30,Dekeyseria,,N,,,,,,,,
30,Delturus,,N,,,,,,,,
30,Dentectus,,N,,,,,,,,
30,Dolichancistrus,,N,,,,,,,,
30,Epactionotus,,N,,,,,,,,
30,Etsaputu,,N,,,,,,,,
30,Eurycheilichthys,,N,,,,,,,,
30,Exastilithoxus,,N,,,,,,,,
30,Farlowella,,N,,,,,,,,
30,Fonchiiichthys,,N,,,,,,,,
30,Fonchiiloricaria,,N,,,,,,,,
30,Furcodontichthys,,N,,,,,,,,
30,Gymnotocinclus,,N,,,,,,,,
30,Harttia,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/11427,,,,,
30,Harttiella,,N,,,,,,,,
30,Hemiancistrus,,N,,,,,,,,
30,Hemiodontichthys,,N,,,,,,,,
30,Hemipsilichthys,,N,,,,,,,,
30,Hisonotus,,N,,,,,,,,
30,Hopliancistrus,,N,,,,,,,,
30,Hypancistrus,,N,,,,,,,,
30,Hypoptopoma,,N,,,,,,,,
30,Hypostomus,,N,,,,,,,,
30,Isbrueckerichthys,,N,,,,,,,,
30,Isorineloricaria,,N,,,,,,,,
30,Ixinandria,,N,,,,,,,,
30,Kronichthys,,N,,,,,,,,
30,Lamontichthys,,N,,,,,,,,
30,Lampiella,,N,,,,,,,,
30,Lasiancistrus,,N,,,,,,,,
30,Leporacanthicus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/12095,,,,,
30,Leptoancistrus,,N,,,,,,,,
30,Limatulichthys,,N,,,,,,,,
30,Lipopterichthys,,N,,,,,,,,
30,Lithogenes,,N,,,,,,,,
30,Lithoxus,,N,,,,,,,,
30,Loraxichthys,,N,,,,,,,,
30,Loricaria,,N,,,,,,,,
30,Loricariichthys,,N,,,,,,,,
30,Macrotocinclus,,N,,,,,,,,
30,Megalancistrus,,N,,,,,,,,
30,Metaloricaria,,N,,,,,,,,
30,Micracanthicus,,N,,,,,,,,
30,Microlepidogaster,,N,,,,,,,,
30,Nannoplecostomus,,N,,,,,,,,
30,Neblinichthys,,N,,,,,,,,
30,Neoplecostomus,,N,,,,,,,,
30,Niobichthys,,N,,,,,,,,
30,Oligancistrus,,N,,,,,,,,
30,Otocinclus,,N,,,,,,,,
30,Otothyris,,N,,,,,,,,
30,Otothyropsis,,N,,,,,,,,
30,Oxyropsis,,N,,,,,,,,
30,Panaqolus,,N,,,,,,,,
30,Panaque,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/12340,,,,,
30,Paraloricaria,,N,,,,,,,,
30,Parancistrus,,N,,,,,,,,
30,Pareiorhaphis,,N,,,,,,,,
30,Pareiorhina,,N,,,,,,,,
30,Parotocinclus,,N,,,,,,,,
30,Paulasquama,,N,,,,,,,,
30,Peckoltia,,N,,,,,,,,
30,Planiloricaria,,N,,,,,,,,
30,Plesioptopoma,,N,,,,,,,,
30,Pogonopoma,,N,,,,,,,,
30,Proloricaria,,N,,,,,,,,
30,Pseudacanthicus,,N,,,,,,,,
30,Pseudancistrus,,N,,,,,,,,
30,Pseudohemiodon,,N,,,,,,,,
